Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
OP146105.1	Rift Valley fever virus	GenBank			Mlingo,T.A.M., Beeton-Kempen,N., Mokoena,N.B., Lebea,P.J. and Nthangeni,M.B.	Research and Development: Virology, Onderstepoort Biological Products Soc Ltd, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		29-MAR-2023	RSA/OBP/RVFVClone13/LAV	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Central African Republic	Central African Republic				1974	SAMN29826206	PRJNA756858	Rift Valley fever virus strain RSA/OBP/RVFVClone13/LAV clone 13 segment M, complete sequence	1974	Central African Republic	RSA/OBP/RVFVClone13/LAV	rvf	OP146105.1	6.6111	20.9394	m
KY126707.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU152/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2008			Rift Valley fever virus isolate SPU152/08 segment M, complete sequence	2008	South Africa	SPU152/08	rvf	KY126707.1	-30.5595	22.9375	m
MG659812.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	B314	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya	Kenya		bovine		1962			Rift Valley fever virus isolate B314 segment M, complete sequence	1962	Kenya	B314	rvf	MG659812.1	0.0236	37.9062	m
KY126705.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		African buffalo		2008			Rift Valley fever virus isolate J40/6 segment M, complete sequence	2008	South Africa	J40/6	rvf	KY126705.1	-30.5595	22.9375	m
KU978776.1	Rift Valley fever virus	GenBank			Rossi,S.L., Forrester,N.L., Ksiazek,T., Guerbois,M., Lin,D., Hari,K. and Weaver,S.C.	Microbiology and Immunology, University of Texas Medical Branch, 301 University Boulevard, Galveston, TX 77555, USA		25-MAR-2017	ZINGA J83 R1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3951	complete		M		Central African Republic	Central African Republic		Homo sapiens		01-Jan-1969	SAMN04017540	PRJNA257008	Rift Valley fever virus isolate ZINGA J83 R1 segment M, complete sequence	1969-01-01	Central African Republic	ZINGA J83 R1	rvf	KU978776.1	6.6111	20.9394	m
MG659791.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1095/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1095/10 segment M, complete sequence	2010	South Africa	SA1095/10	rvf	MG659791.1	-30.5595	22.9375	m
KY126691.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA129/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA129/10 segment M, complete sequence	2010	South Africa	SA129/10	rvf	KY126691.1	-30.5595	22.9375	m
MG659746.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA103/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA103/10 segment M, complete sequence	2010	South Africa	SA103/10	rvf	MG659746.1	-30.5595	22.9375	m
MG659762.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA322/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA322/10 segment M, complete sequence	2010	South Africa	SA322/10	rvf	MG659762.1	-30.5595	22.9375	m
MG659744.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU97/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU97/10 segment M, complete sequence	2010	South Africa	SPU97/10	rvf	MG659744.1	-30.5595	22.9375	m
JQ820491.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 28-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3884	complete		M		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 28-2010 segment M, complete sequence	2010-10	Sudan	Sudan 28-2010	rvf	JQ820491.1	12.8628	30.2176	m
KX609032.1	Rift Valley fever virus	GenBank			Tong,Y.-G., Liu,J., Gao,B., Sun,Q., Wang,J., Sun,F. and Cao,W.-C.	State Key Laboratory of Pathogen and Biosecurity, Beijing International Travel Healthcare Center, No. 17, Madian East Street, Haidian District, Beijing, Beijing 100088, China		27-SEP-2016	BIME-01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		China: Beijing	China		Homo sapiens		21-Jul-2016			Rift Valley fever virus strain BIME-01 segment M, complete sequence	2016-07-21	China	BIME-01	rvf	KX609032.1	35.8617	104.1954	m
EU574038.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002444	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Meru Central district	Kenya		bovine		05-Feb-2007			Rift Valley fever virus strain 2007002444 segment M, complete sequence	2007-02-05	Kenya	2007002444	rvf	EU574038.1	0.0236	37.9062	m
MG659734.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU59/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU59/10 segment M, complete sequence	2010	South Africa	SPU59/10	rvf	MG659734.1	-30.5595	22.9375	m
DQ380186.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Mauritania	Mauritania		Homo sapiens	human sera	1987			Rift Valley fever virus strain OS-1 segment M, complete sequence	1987	Mauritania	OS-1	rvf	DQ380186.1	21.0079	-10.9408	m
DQ380192.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		31-JAN-2007	Kenya 57 (Rintoul)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3900	complete		M		Kenya: Kitale	Kenya		ovine		1951			Rift Valley fever virus strain Kenya 57 (Rintoul) segment M, complete sequence	1951	Kenya	Kenya 57 (Rintoul)	rvf	DQ380192.1	0.0236	37.9062	m
MG659760.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA287/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA287/10 segment M, complete sequence	2010	South Africa	SA287/10	rvf	MG659760.1	-30.5595	22.9375	m
EU574036.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002476	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Nakuru district	Kenya		bovine		21-Feb-2007			Rift Valley fever virus strain 2007002476 segment M, complete sequence	2007-02-21	Kenya	2007002476	rvf	EU574036.1	0.0236	37.9062	m
MG659770.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA424/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA424/10 segment M, complete sequence	2010	South Africa	SA424/10	rvf	MG659770.1	-30.5595	22.9375	m
KJ782456.1	Rift Valley fever virus	GenBank			Nakoune,E., Berthet,N. and Kazanji,M.	Department of virology, Institut Pasteur, 28 rue du docteur Roux, Paris, IDF 75724, France		02-MAY-2016	ArB1986	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Central African Republic: Loko	Central African Republic		Aedes palpalis		12-Jun-1969			Rift Valley fever virus strain ArB1986 segment M, complete sequence	1969-06-12	Central African Republic	ArB1986	rvf	KJ782456.1	6.6111	20.9394	m
MG659803.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1797/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1797/10 segment M, complete sequence	2010	South Africa	SA1797/10	rvf	MG659803.1	-30.5595	22.9375	m
MG659771.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA472/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA472/10 segment M, complete sequence	2010	South Africa	SA472/10	rvf	MG659771.1	-30.5595	22.9375	m
MG649056.1	Rift Valley fever virus	GenBank			Bi,Y., Gary,W., Wang,B., Li,L. and Zeng,H.	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Center for Influenza Research and Early-warning (CASCIRE), Chinese Academy of Sciences, No. 1 West Beichen Road, Beijing 100101, China		30-DEC-2018	RVFV-BJ01-Sera-8d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3879	complete		M		China: Beijing	China		Homo sapiens	serum	23-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-8d/2016 segment M, complete sequence	2016-06-23	China	RVFV-BJ01-Sera-8d/2016	rvf	MG649056.1	35.8617	104.1954	m
DQ380206.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZH-548	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Egypt: Sharqiya	Egypt		Homo sapiens	human sera	1977			Rift Valley fever virus strain ZH-548 segment M, complete sequence	1977	Egypt	ZH-548	rvf	DQ380206.1	26.8206	30.8025	m
EU574054.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007000222	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Maragua district	Kenya		bovine		16-Jan-2007			Rift Valley fever virus strain 2007000222 segment M, complete sequence	2007-01-16	Kenya	2007000222	rvf	EU574054.1	0.0236	37.9062	m
JQ068143.1	Rift Valley fever virus	GenBank			Potgieter,C.A., Smith,S.J. and Kortekaas,J.	Virology, Central Veterinary Institute of Wageningen University and Research Centre, Edelhertweg 15, Lelystad, Flevoland 8219 PH, The Netherlands		24-MAR-2012	Kakamas	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	3885	complete		M		South Africa	South Africa		sheep	blood	Oct-2009			Rift Valley fever virus segment M, complete sequence	2009-10	South Africa	Kakamas	rvf	JQ068143.1	-30.5595	22.9375	m
MG659807.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA327/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA327/11 segment M, complete sequence	2011	South Africa	SA327/11	rvf	MG659807.1	-30.5595	22.9375	m
MG649054.1	Rift Valley fever virus	GenBank			Bi,Y., Gary,W., Wang,B., Li,L. and Zeng,H.	CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Center for Influenza Research and Early-warning (CASCIRE), Chinese Academy of Sciences, No. 1 West Beichen Road, Beijing 100101, China		30-DEC-2018	RVFV-BJ01-Sera-6d/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3878	complete		M		China: Beijing	China		Homo sapiens	serum	21-Jun-2016			Rift Valley fever virus isolate RVFV-BJ01-Sera-6d/2016 segment M, complete sequence	2016-06-21	China	RVFV-BJ01-Sera-6d/2016	rvf	MG649054.1	35.8617	104.1954	m
KY126696.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA573/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA573/10 segment M, complete sequence	2010	South Africa	SA573/10	rvf	KY126696.1	-30.5595	22.9375	m
MG659792.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1098/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1098/10 segment M, complete sequence	2010	South Africa	SA1098/10	rvf	MG659792.1	-30.5595	22.9375	m
OM744404.1	Rift Valley fever virus	GenBank			Borrego,B. and Brun,A.	Centro Investigacion Sanidad Animal, INIA/CSIC, Carretera Algete-El Casar, Valdeolmos, Madrid 28130, Spain		16-JUL-2022	40Fp8	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Spain	Spain				21-Jun-2016			Rift Valley fever virus isolate 40Fp8 segment M, complete sequence	2016-06-21	Spain	40Fp8	rvf	OM744404.1	40.4637	-3.7492	m
PV231436.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,J., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.E.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_CAP/2020/2112_S4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3096	complete		M		Botswana	Botswana		caprine		2020			Rift Valley fever virus isolate BOT_CAP/2020/2112_S4 segment M, complete sequence	2020	Botswana	BOT_CAP/2020/2112_S4	rvf	PV231436.1	-22.3285	24.6849	m
KX785331.1	Rift Valley fever virus	GenBank			Liu,L., Liu,Y., Zhang,Q., Li,C., Li,J., Liang,M. and Li,D.	National Institute of Viral Disease Control and Prevention, China CDC, No. 155 Changbai Road, Changping District, Beijing 102206, China		12-JUN-2017	RVFBJ01/2016	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		China	China		Homo sapiens		21-Jul-2016			Rift Valley fever virus isolate RVFBJ01/2016 segment M, complete sequence	2016-07-21	China	RVFBJ01/2016	rvf	KX785331.1	35.8617	104.1954	m
JF311377.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803162	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Madagascar: Taolagnaro	Madagascar		Homo sapiens		Jan-2008			Rift Valley fever virus strain 200803162 segment M, complete sequence	2008-01	Madagascar	200803162	rvf	JF311377.1	-18.7669	46.8691	m
DQ380209.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2250/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Zimbabwe: Beatrice	Zimbabwe		bovine	fetus	1974			Rift Valley fever virus strain 2250/74 segment M, complete sequence	1974	Zimbabwe	2250/74	rvf	DQ380209.1	-19.0154	29.1549	m
KF876008.1	Rift Valley fever virus	GenBank			Imatdinov,I.R., Titov,I.A. and Balysheva,V.I.	Russian Academy of Agricultural Sciences, State Research Institution, National Research Institute for Veterinary Virology and Microbiology of Russia, Pokrov, Vladimir Region 601120, Russia		08-MAR-2014	1974-VNIIVViM	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1608	complete		M		Russia	Russia				1974			UNVERIFIED: Rift Valley fever virus strain 1974-VNIIVViM envelope glycoprotein Gn-like gene, complete sequence	1974	Russia	1974-VNIIVViM	rvf	KF876008.1	61.524	105.3188	m
