Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
GQ443211.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	1586-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar	Madagascar		Homo sapiens	serum	15-Apr-2008			Rift Valley fever virus strain 1586-08 segment L polymerase gene, partial cds	2008-04-15	Madagascar	1586-08	rvf	GQ443211.1	-18.7669	46.8691
PP746424.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	CML3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6331	partial		L		Kenya: Marsabit	Kenya		Bos taurus		27-Jun-2018			Rift Valley fever virus strain CML3 polymerase gene, partial cds	2018-06-27	Kenya	CML3	rvf	PP746424.1	0.0236	37.9062
ON060807.1	Rift Valley fever virus	GenBank			Nyakarahuka,L., Whitmer,S., Klena,J., Balinandi,S.K., Talundzic,E., Alex,T., Jackson,K., Mulei,S., Patel,K., Baluku,J., Grace,A.G., Diana,N., Kamugisha,K., Cossaboom,C., Whitesell,A., Carson,T., Graziano,J., Montomery,J., Stuart,N., Lutwama,J. and Shoemaker,T.R.	VSPB, CDC, 1600 Clifton Road, Atlanta, GA 30333, USA		25-MAR-2023	201902750_S|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1679	partial		S		Uganda	Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902750_S|Uganda|2018 nonstructural protein and nucleocapsid protein genes, complete cds	2018	Uganda	201902750_S|Uganda|2018	rvf	ON060807.1	1.3733	32.2903
JF326194.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000323	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Tanzania	Tanzania		Homo sapiens		Feb-2007			Rift Valley fever virus strain 2007000323 segment M, complete sequence	2007	Tanzania	2007000323	rvf	JF326194.1	-6.369	34.8888
HM586956.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	KEN/Mal-032/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		L		Kenya	Kenya		Homo sapiens		15-Jan-2007			Rift Valley fever virus strain KEN/Mal-032/07 polymerase (L) gene, complete cds	2007-01-15	Kenya	KEN/Mal-032/07	rvf	HM586956.1	0.0236	37.9062
KX944858.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M25/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6398	partial		L		South Africa	South Africa		ovine		2010			Rift Valley fever virus isolate M25/10 segment L polymerase gene, complete cds	2010	South Africa	M25/10	rvf	KX944858.1	-30.5595	22.9375
PV231439.1	Rift Valley fever virus	GenBank			Modise-Tlotleng,B.M., Mpoloka,S.W., Settypalli,T.B.K., Takemura,T., Hyera,L., Xue,D., Kgotlele,T., Morapedi,K., Raboloko,O.O., Marobela-Raborokgwe,C., Viljoen,G.J., Cattoli,G. and Lamien,C.E.	Animal Production and Health Laboratory, Joint FAO/IAEA Centre of Nuclear Techniques in Food and Agriculture, Department of Nuclear Sciences and Applications, International Atomic Energy Agency, Wagramer Strasse 5, P.O. Box 100, Vienna 1400, Austria		23-MAR-2025	BOT_BOV/2014/1894_S3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1071	complete		L		Botswana	Botswana		bovine		2014			Rift Valley fever virus isolate BOT_BOV/2014/1894_S3 segment L, complete sequence	2014	Botswana	BOT_BOV/2014/1894_S3	rvf	PV231439.1	-22.3285	24.6849
JF311388.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803164	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Madagascar: Ankazobe	Madagascar		Homo sapiens		Mar-2008			Rift Valley fever virus strain 200803164 segment S, complete sequence	2008	Madagascar	200803164	rvf	JF311388.1	-18.7669	46.8691
GQ443236.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0851-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M		Madagascar	Madagascar		Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0851-08 segment M glycoprotein G2 gene, partial cds	2008-03-23	Madagascar	0851-08	rvf	GQ443236.1	-18.7669	46.8691
JN995267.1	Rift Valley fever virus	GenBank			Soumare,P.O.L., Freire,C.M., Faye,O., Diallo,M., Zanotto,P.M.A. and Sall,A.	Department of Microbiology, Laboratory of Molecular Evolution and Bioinformatics, Biomedical Sciences Institute, University of Sao Paulo, Prof Lineu Prestes Ave. 1374, Sao Paulo, Sao Paulo 05508-900, Brazil		15-MAY-2012	S24_ANM_MR_HG_1998	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	601	partial				Mauritania: Hodh El Garbi	Mauritania		sheep		1998			Rift Valley fever virus strain S24_ANM_MR_HG_1998 non-structural protein gene, partial cds	1998	Mauritania	S24_ANM_MR_HG_1998	rvf	JN995267.1	21.0079	-10.9408
KY126713.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		South Africa	South Africa		Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment M, complete sequence	1981	South Africa	Ar20364	rvf	KY126713.1	-30.5595	22.9375
PQ436081.1	Rift Valley fever virus	GenBank			Bakamutumaho,B., Nyakarahuka,L., Situma,S., Nasimiyu,C., Oyola,S., Juma,J., Bosa,H.K., Njenga,K.M. and Breiman,R.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		18-NOV-2024	CD300/Kabale1-2022	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3404	partial		M		Uganda: Kabale	Uganda		Homo sapiens		2022-03-10			Rift Valley fever virus isolate CD300/Kabale1-2022 segment M glycoprotein gene, partial cds	2022-03-10	Uganda	CD300/Kabale1-2022	rvf	PQ436081.1	1.3733	32.2903
KY196510.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment S, complete sequence	1981	South Africa	Ar20364	rvf	KY196510.1	-30.5595	22.9375
M25276.1	Rift Valley fever virus	GenBank			Takehara,K., Min,M.K., Battles,J.K., Sugiyama,K., Emery,V.C., Dalrymple,J.M. and Bishop,D.H.			16-SEP-1994	vaccine strain ZH-548M12	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial												Rift Valley fever virus (vaccine strain ZH-548M12) M protein RNA, complete cds			vaccine strain ZH-548M12	rvf	M25276.1		
KX944831.1	Rift Valley fever virus	GenBank			Maluleke,M.R., Phosiwa,M., Lubisi,B.A., van Schalkwyk,A., Michuki,G., Kegakilwe,P.S., Kemp,S.J. and Majiwa,P.A.O.	Molecular Epidemiology and Diagnostic, Agricultural Research Council - Onderstepoort Veterinary Institute, 100 Old Soutpan Road, Pretoria, Gauteng 0110, South Africa		25-OCT-2018	M1955	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M		South Africa	South Africa		unknown		1955			Rift Valley fever virus isolate M1955 glycoprotein gene, complete cds	1955	South Africa	M1955	rvf	KX944831.1	-30.5595	22.9375
GQ443159.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	0889-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S		Madagascar	Madagascar		Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0889-08 segment S nonstructural protein gene, partial cds	2008-03-26	Madagascar	0889-08	rvf	GQ443159.1	-18.7669	46.8691
HM587068.1	Rift Valley fever virus	GenBank			Grobbelaar,A., Swanepoel,R. and Paweska,J.T.	NICD, 1 Modderfontein Road, Johannesburg 2131, South Africa		09-DEC-2011	SPU22/07/4	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus isolate SPU22/07/4 segment M glycoprotein G2 gene, partial cds	2007	Kenya	SPU22/07/4	rvf	HM587068.1	0.0236	37.9062
MG972974.1	Rift Valley fever virus	GenBank			Whitmer,S.L.M., Zufan,S.E., Stroeher,U., Nichol,S.T. and Klena,J.D.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		05-MAR-2020	201707024	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1644	complete		S		Uganda	Uganda		Homo sapiens		21-Nov-2017			Rift Valley fever virus strain 201707024 segment S, complete sequence	2017-11-21	Uganda	201707024	rvf	MG972974.1	1.3733	32.2903
KX632067.1	Rift Valley fever virus	GenBank			Zhang,J.W., Shi,Y.X., Zheng,K., Huang,J.C., Xu,X., Li,X.B., Dai,J., Li,S.F., Zhong,Y.Q., Li,L.Q., Lu,H.R., Ma,J.M., Li,W.S., Yu,J.Y., Hong,R.S., Lu,L.H., Ji,J.K., Peng,S.Q., Mai,G.Q., Huang,Y.T., Qiu,J.J., Li,J.D., Liu,X., Chen,Y.Y., Zhang,X.G., Zhang,J.M., Jin,X., Huang,J.H., Sun,F.J., Wang,Z. and Zhu,Z.Y.	Inspection and Quarantine Technology Centre, Guangdong Entry-Exit Inspection and Quarantine Bureau, General Administration of Quality Supevision, Inspection and Quarantine of the People's Republic of China, No. 8, Madian Road, Haidian District, Beijing 100088, China		27-AUG-2016	BJ01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3872	complete		M		Angola	Angola		Homo sapiens	blood	22-Jul-2016			Rift Valley fever virus isolate BJ01 segment M, complete sequence	2016-07-22	Angola	BJ01	rvf	KX632067.1	-11.2027	17.8739
MG659870.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA746/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA746/10 segment L, complete sequence	2010	South Africa	SA746/10	rvf	MG659870.1	-30.5595	22.9375
JF326195.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000324	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Tanzania	Tanzania		Homo sapiens		Feb-2007			Rift Valley fever virus strain 2007000324 segment M, complete sequence	2007	Tanzania	2007000324	rvf	JF326195.1	-6.369	34.8888
HM586971.1	Rift Valley fever virus	GenBank			Nderitu,L.M., Lee,J.S., Omolo,J., Omulo,S., O'Guinn,M.L., Hightower,A., Mosha,F., Mohamed,M., Munyua,P., Nganga,Z., Hiett,K., Seal,B., Feikin,D.R., Breiman,R.F. and Njenga,K.	Global Disease Detection Division, U.S. Centers for Disease Control and Prevention-Kenya, P.O. Box 606, Nairobi 00621, Kenya		14-APR-2011	TAN/Dod-002/07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	partial		M		Tanzania	Tanzania				14-Mar-2007			Rift Valley fever virus strain TAN/Dod-002/07 glycoprotein gene, complete cds	2007-03-14	Tanzania	TAN/Dod-002/07	rvf	HM586971.1	-6.369	34.8888
PP746452.1	Rift Valley fever virus	GenBank			Konongoi,S.L., Juma,J.A., Roesel,K., Bett,B. and Oyola,S.O.	Animal and Human Health, International Livestock Research Institute, Naivasha Road, Nairobi P. O. Box 30709-00100, Kenya		12-FEB-2025	SWA-ISI	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6396	partial		L		Kenya: Isiolo	Kenya		Homo sapiens		01-Nov-2020			Rift Valley fever virus strain SWA-ISI polymerase gene, complete cds	2020-11-01	Kenya	SWA-ISI	rvf	PP746452.1	0.0236	37.9062
HB475446.1	Rift Valley fever virus	GenBank			Bird,B.H., Albarino,C.G., Nichol,S.T. and Ksiazek,T.G.			04-AUG-2009		Phlebovirus riftense	Phlebovirus	Phenuiviridae	unassigned DNA	3885	partial												Sequence 2 from Patent WO2009082647			HB475446.1	rvf	HB475446.1		
GU135850.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Elissa,N. and Ratovonjato,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de l'Institut Pasteur, Antananarivo 101, Madagascar		03-APR-2012	FI-79	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar: Ampandrambato, Sahambavy, Fianarantsoa II	Madagascar		Anopheles squamosus	unfed female mosquitos	20-Dec-2008			Rift Valley fever virus strain FI-79 segment L polymerase gene, partial cds	2008-12-20	Madagascar	FI-79	rvf	GU135850.1	-18.7669	46.8691
GQ443210.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Andriamandimby,S.F. and Razainirina,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de L'institut Pasteur, Antananarivo 101, Madagascar		25-JUL-2016	1585-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar	Madagascar		Capra hircus	serum	13-Apr-2008			Rift Valley fever virus strain 1585-08 segment L polymerase gene, partial cds	2008-04-13	Madagascar	1585-08	rvf	GQ443210.1	-18.7669	46.8691
JF311384.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803169	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Madagascar: Antsirabe	Madagascar		bovine		Feb-2008			Rift Valley fever virus strain 200803169 segment M, complete sequence	2008	Madagascar	200803169	rvf	JF311384.1	-18.7669	46.8691
EU574032.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007004193	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M		Kenya: Nairobi district	Kenya		bovine		23-Apr-2007			Rift Valley fever virus strain 2007004193 segment M, complete sequence	2007-04-23	Kenya	2007004193	rvf	EU574032.1	0.0236	37.9062
GU135849.1	Rift Valley fever virus	GenBank			Reynes,J.-M., Elissa,N. and Ratovonjato,J.	Centre National de Reference Pour les Arbovirus et Virus Responsables de Fievres Hemorragiques, Institut Pasteur de Madagascar, Route de l'Institut Pasteur, Antananarivo 101, Madagascar		03-APR-2012	FI-28	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L		Madagascar: Ampandrambato, Sahambavy, Fianarantsoa II	Madagascar		Anopheles squamosus	unfed female mosquitos	19-Dec-2008			Rift Valley fever virus strain FI-28 segment L polymerase gene, partial cds	2008-12-19	Madagascar	FI-28	rvf	GU135849.1	-18.7669	46.8691
