Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
KY196492.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA276/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA276/10 segment S, complete sequence	2010	South Africa	SA276/10	rvf	KY196492.1	-30.5595	22.9375	s
MG659954.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA665/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA665/10 segment S, complete sequence	2010	South Africa	SA665/10	rvf	MG659954.1	-30.5595	22.9375	s
EU312117.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	ArD38661SEN81	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Senegal	Senegal		Aedes dalzieli (mosquito)		1981			Rift Valley fever virus strain ArD38661SEN81 segment S, complete sequence	1981	Senegal	ArD38661SEN81	rvf	EU312117.1	14.4974	-14.4524	s
KY196497.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1796/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1796/10 segment S, complete sequence	2010	South Africa	SA1796/10	rvf	KY196497.1	-30.5595	22.9375	s
DQ380174.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	763/70	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1970			Rift Valley fever virus strain 763/70 segment S, complete sequence	1970	Zimbabwe	763/70	rvf	DQ380174.1	-19.0154	29.1549	s
DQ380165.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ANK-3837	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Guinea	Guinea		Hipposideros caffer (bat)		1981			Rift Valley fever virus strain ANK-3837 segment S, complete sequence	1981	Guinea	ANK-3837	rvf	DQ380165.1	9.9456	-9.6966	s
DQ380164.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	1260/78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1978			Rift Valley fever virus strain 1260/78 segment S, complete sequence	1978	Zimbabwe	1260/78	rvf	DQ380164.1	-19.0154	29.1549	s
EU312139.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU2201KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU2201KEN07 segment S, complete sequence	2007	Kenya	SPU2201KEN07	rvf	EU312139.1	0.0236	37.9062	s
DQ380143.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2250/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Zimbabwe: Beatrice	Zimbabwe		bovine	fetus	1974			Rift Valley fever virus strain 2250/74 segment S, complete sequence	1974	Zimbabwe	2250/74	rvf	DQ380143.1	-19.0154	29.1549	s
EU312121.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	LunyoUGA55	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1692	complete		S		Uganda	Uganda		mosquito		1955			Rift Valley fever virus strain LunyoUGA55 segment S, complete sequence	1955	Uganda	LunyoUGA55	rvf	EU312121.1	1.3733	32.2903	s
MG659980.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA342/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA342/11 segment S, complete sequence	2011	South Africa	SA342/11	rvf	MG659980.1	-30.5595	22.9375	s
MG659982.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA389/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2011			Rift Valley fever virus isolate SA389/11 segment S, complete sequence	2011	South Africa	SA389/11	rvf	MG659982.1	-30.5595	22.9375	s
DQ380152.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZC-3349	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Egypt: Asyut	Egypt		bovine		1978			Rift Valley fever virus strain ZC-3349 segment S, complete sequence	1978	Egypt	ZC-3349	rvf	DQ380152.1	26.8206	30.8025	s
DQ380159.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	2373/74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Zimbabwe: Salisbury	Zimbabwe		bovine	fetus	1974			Rift Valley fever virus strain 2373/74 segment S, complete sequence	1974	Zimbabwe	2373/74	rvf	DQ380159.1	-19.0154	29.1549	s
JQ820478.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 133-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Sudan: Khartoum State	Sudan		Homo sapiens	human sera	Nov-2007			Rift Valley fever virus strain Sudan 133-2007 segment S, complete sequence	2007-11	Sudan	Sudan 133-2007	rvf	JQ820478.1	12.8628	30.2176	s
MG659939.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA395/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA395/10 segment S, complete sequence	2010	South Africa	SA395/10	rvf	MG659939.1	-30.5595	22.9375	s
MG659983.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA579/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Namibia	Namibia		Homo sapiens		2011			Rift Valley fever virus isolate SA579/11 segment S, complete sequence	2011	Namibia	SA579/11	rvf	MG659983.1	-22.9576	18.4904	s
MG659927.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA220/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA220/10 segment S, complete sequence	2010	South Africa	SA220/10	rvf	MG659927.1	-30.5595	22.9375	s
MG972977.1	Rift Valley fever virus	GenBank			Whitmer,S.L.M., Zufan,S.E., Stroeher,U., Nichol,S.T. and Klena,J.D.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		05-MAR-2020	201707023	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1686	complete		S		Uganda	Uganda		Homo sapiens		16-Nov-2017			Rift Valley fever virus strain 201707023 segment S, complete sequence	2017-11-16	Uganda	201707023	rvf	MG972977.1	1.3733	32.2903	s
EU312144.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	SPU10301KEN07	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Kenya	Kenya		Homo sapiens		2007			Rift Valley fever virus strain SPU10301KEN07 segment S, complete sequence	2007	Kenya	SPU10301KEN07	rvf	EU312144.1	0.0236	37.9062	s
EU312133.1	Rift Valley fever virus	GenBank			Aitken,S.C., Paweska,J.T. and Grobbelaar,A.	Special Pathogens Unit, National Institute for Communicable Diseases, Private Bag X4, Sandringham, Johannesburg, Gauteng 2131, South Africa		30-NOV-2009	VRL1290ZIM78	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		Zimbabwe	Zimbabwe		bovine	fetus	1978			Rift Valley fever virus strain VRL1290ZIM78 segment S, complete sequence	1978	Zimbabwe	VRL1290ZIM78	rvf	EU312133.1	-19.0154	29.1549	s
KY196508.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	An1830	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		ovine		1956			Rift Valley fever virus isolate An1830 segment S, complete sequence	1956	South Africa	An1830	rvf	KY196508.1	-30.5595	22.9375	s
MG659932.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA287/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA287/10 segment S, complete sequence	2010	South Africa	SA287/10	rvf	MG659932.1	-30.5595	22.9375	s
KX632068.1	Rift Valley fever virus	GenBank			Zhang,J.W., Shi,Y.X., Zheng,K., Huang,J.C., Xu,X., Li,X.B., Dai,J., Li,S.F., Zhong,Y.Q., Li,L.Q., Lu,H.R., Ma,J.M., Li,W.S., Yu,J.Y., Hong,R.S., Lu,L.H., Ji,J.K., Peng,S.Q., Mai,G.Q., Huang,Y.T., Qiu,J.J., Li,J.D., Liu,X., Chen,Y.Y., Zhang,X.G., Zhang,J.M., Jin,X., Huang,J.H., Sun,F.J., Wang,Z. and Zhu,Z.Y.	Inspection and Quarantine Technology Centre, Guangdong Entry-Exit Inspection and Quarantine Bureau, General Administration of Quality Supevision, Inspection and Quarantine of the People's Republic of China, No. 8, Madian Road, Haidian District, Beijing 100088, China		27-AUG-2016	BJ01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1686	complete		S		Angola	Angola		Homo sapiens	blood	22-Jul-2016			Rift Valley fever virus isolate BJ01 segment S, complete sequence	2016-07-22	Angola	BJ01	rvf	KX632068.1	-11.2027	17.8739	s
MG659955.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA705/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1691	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA705/10 segment S, complete sequence	2010	South Africa	SA705/10	rvf	MG659955.1	-30.5595	22.9375	s
MG659918.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA103/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA103/10 segment S, complete sequence	2010	South Africa	SA103/10	rvf	MG659918.1	-30.5595	22.9375	s
MG659915.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA95/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA95/10 segment S, complete sequence	2010	South Africa	SA95/10	rvf	MG659915.1	-30.5595	22.9375	s
DQ380170.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	Saudi 2000-10911	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Saudi Arabia	Saudi Arabia		Homo sapiens	human sera	2000			Rift Valley fever virus strain Saudi 2000-10911 segment S, complete sequence	2000	Saudi Arabia	Saudi 2000-10911	rvf	DQ380170.1	23.8859	45.0792	s
KJ782455.1	Rift Valley fever virus	GenBank			Nakoune,E., Berthet,N. and Kazanji,M.	Department of virology, Institut Pasteur, 28 rue du docteur Roux, Paris, IDF 75724, France		02-MAY-2016	ArB1986	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S		Central African Republic: Loko	Central African Republic		Aedes palpalis		12-Jun-1969			Rift Valley fever virus strain ArB1986 segment S, complete sequence	1969-06-12	Central African Republic	ArB1986	rvf	KJ782455.1	6.6111	20.9394	s
