Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude	segment
DQ375412.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ZC-3349	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Egypt: Asyut	Egypt			bovine	1978			Rift Valley fever virus strain ZC-3349 segment L, complete sequence	1978	Egypt	ZC-3349	rvf	DQ375412.1	26.8206	30.8025	l
EU574017.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007001564	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Muranga district	Kenya		bovine		29-Jan-2007			Rift Valley fever virus strain 2007001564 segment L, complete sequence	2007-01-29	Kenya	2007001564	rvf	EU574017.1	0.0236	37.9062	l
JF326187.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control & Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		08-FEB-2012	2007000253	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya	Kenya		mosquito		29-Dec-2006			Rift Valley fever virus strain 2007000253 segment L, complete sequence	2006-12-29	Kenya	2007000253	rvf	JF326187.1	0.0236	37.9062	l
KY126674.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1222/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1222/10 segment L, complete sequence	2010	South Africa	SA1222/10	rvf	KY126674.1	-30.5595	22.9375	l
KY126681.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU142/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		bovine		2008			Rift Valley fever virus isolate SPU142/08 segment L, complete sequence	2008	South Africa	SPU142/08	rvf	KY126681.1	-30.5595	22.9375	l
MG659849.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA336/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA336/10 segment L, complete sequence	2010	South Africa	SA336/10	rvf	MG659849.1	-30.5595	22.9375	l
KY126669.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA275/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA275/10 segment L, complete sequence	2010	South Africa	SA275/10	rvf	KY126669.1	-30.5595	22.9375	l
KY126684.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU404/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2009			Rift Valley fever virus isolate SPU404/09 segment L, complete sequence	2009	South Africa	SPU404/09	rvf	KY126684.1	-30.5595	22.9375	l
KY126673.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA1094/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA1094/10 segment L, complete sequence	2010	South Africa	SA1094/10	rvf	KY126673.1	-30.5595	22.9375	l
KY126685.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar74	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Aedes circumluteolus		1955			Rift Valley fever virus isolate Ar74 segment L, complete sequence	1955	South Africa	Ar74	rvf	KY126685.1	-30.5595	22.9375	l
MG659904.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	HD21955	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Senegal	Senegal		Homo sapiens		1975			Rift Valley fever virus isolate HD21955 segment L, complete sequence	1975	Senegal	HD21955	rvf	MG659904.1	14.4974	-14.4524	l
DQ375421.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	ANK-6087	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Guinea	Guinea			Micropterus pusillus (bat)	1984			Rift Valley fever virus strain ANK-6087 segment L, complete sequence	1984	Guinea	ANK-6087	rvf	DQ375421.1	9.9456	-9.6966	l
MG659841.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA220/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA220/10 segment L, complete sequence	2010	South Africa	SA220/10	rvf	MG659841.1	-30.5595	22.9375	l
MG659867.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA638/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA638/10 segment L, complete sequence	2010	South Africa	SA638/10	rvf	MG659867.1	-30.5595	22.9375	l
MG659840.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA206/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA206/10 segment L, complete sequence	2010	South Africa	SA206/10	rvf	MG659840.1	-30.5595	22.9375	l
KY126668.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA184/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA184/10 segment L, complete sequence	2010	South Africa	SA184/10	rvf	KY126668.1	-30.5595	22.9375	l
JQ820486.1	Rift Valley fever virus	GenBank			Aradaib,I.E., Erickson,B.R., Khristova,M.L., Karsany,M.E., Elageb,R.M., Elkhidir,I.M., Elbashir,M.I. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		26-JAN-2013	Sudan 28-2010	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6400	complete		L		Sudan: Gezira State	Sudan		Homo sapiens	human sera	Oct-2010			Rift Valley fever virus strain Sudan 28-2010 segment L, complete sequence	2010-10	Sudan	Sudan 28-2010	rvf	JQ820486.1	12.8628	30.2176	l
DQ375433.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	SA-51 (Van Wyck)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa: Boshof	South Africa			ovine	1951			Rift Valley fever virus strain SA-51 (Van Wyck) segment L, complete sequence	1951	South Africa	SA-51 (Van Wyck)	rvf	DQ375433.1	-30.5595	22.9375	l
KX609031.1	Rift Valley fever virus	GenBank			Tong,Y.-G., Liu,J., Gao,B., Sun,Q., Wang,J., Sun,F. and Cao,W.-C.	State Key Laboratory of Pathogen and Biosecurity, Beijing International Travel Healthcare Center, No. 17, Madian East Street, Haidian District, Beijing, Beijing 100088, China		27-SEP-2016	BIME-01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		China: Beijing	China		Homo sapiens		21-Jul-2016			Rift Valley fever virus strain BIME-01 segment L, complete sequence	2016-07-21	China	BIME-01	rvf	KX609031.1	35.8617	104.1954	l
MG659846.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA287/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA287/10 segment L, complete sequence	2010	South Africa	SA287/10	rvf	MG659846.1	-30.5595	22.9375	l
JF311368.1	Rift Valley fever virus	GenBank			Carroll,S.A., Reynes,J.-M., Khristova,M.L., Andriamandimby,S.F., Rollin,P.E. and Nichol,S.T.	Viral Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, MS G-14, Atlanta, GA 30333, USA		16-JUN-2011	200803162	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Madagascar: Taolagnaro	Madagascar		Homo sapiens		Jan-2008			Rift Valley fever virus strain 200803162 segment L, complete sequence	2008-01	Madagascar	200803162	rvf	JF311368.1	-18.7669	46.8691	l
MG659872.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA918/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA918/10 segment L, complete sequence	2010	South Africa	SA918/10	rvf	MG659872.1	-30.5595	22.9375	l
MG659826.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA85/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA85/10 segment L, complete sequence	2010	South Africa	SA85/10	rvf	MG659826.1	-30.5595	22.9375	l
KU978779.1	Rift Valley fever virus	GenBank			Rossi,S.L., Forrester,N.L., Ksiazek,T., Guerbois,M., Lin,D., Hari,K. and Weaver,S.C.	Microbiology and Immunology, University of Texas Medical Branch, 301 University Boulevard, Galveston, TX 77555, USA		25-MAR-2017	ZINGA J83 R1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6453	complete		L		Central African Republic	Central African Republic		Homo sapiens		01-Jan-1969	SAMN04017540	PRJNA257008	Rift Valley fever virus isolate ZINGA J83 R1 segment L, complete sequence	1969-01-01	Central African Republic	ZINGA J83 R1	rvf	KU978779.1	6.6111	20.9394	l
MG659897.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA579/11	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Namibia	Namibia		Homo sapiens		2011			Rift Valley fever virus isolate SA579/11 segment L, complete sequence	2011	Namibia	SA579/11	rvf	MG659897.1	-22.9576	18.4904	l
MG659865.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA633/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA633/10 segment L, complete sequence	2010	South Africa	SA633/10	rvf	MG659865.1	-30.5595	22.9375	l
DQ375396.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Mauritania	Mauritania			human sera	1987			Rift Valley fever virus strain OS-3 segment L, complete sequence	1987	Mauritania	OS-3	rvf	DQ375396.1	21.0079	-10.9408	l
DQ375415.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	74HB59	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Central African Republic	Central African Republic			human sera	1974			Rift Valley fever virus strain 74HB59 segment L, complete sequence	1974	Central African Republic	74HB59	rvf	DQ375415.1	6.6111	20.9394	l
DQ375414.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	MgH824	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Madagascar	Madagascar			human sera	1979			Rift Valley fever virus strain MgH824 segment L, complete sequence	1979	Madagascar	MgH824	rvf	DQ375414.1	-18.7669	46.8691	l
MG659844.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA250/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA250/10 segment L, complete sequence	2010	South Africa	SA250/10	rvf	MG659844.1	-30.5595	22.9375	l
MG659859.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA484/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA484/10 segment L, complete sequence	2010	South Africa	SA484/10	rvf	MG659859.1	-30.5595	22.9375	l
KY126687.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging and Zoonotic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	Ar12568	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Eretmapodites quinquevittatus		1971			Rift Valley fever virus isolate Ar12568 segment L, complete sequence	1971	South Africa	Ar12568	rvf	KY126687.1	-30.5595	22.9375	l
MG659848.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA322/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA322/10 segment L, complete sequence	2010	South Africa	SA322/10	rvf	MG659848.1	-30.5595	22.9375	l
EU574012.1	Rift Valley fever virus	GenBank			Bird,B.H., Githinji,J.W., Macharia,J.M., Ksiazek,T.G. and Nichol,S.T.	Special Pathogens Branch (CCID/DVRD), Centers for Disease Control and Prevention, 1600 Clifton Rd, Atlanta, GA 30333, USA		29-OCT-2008	2007002444	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Kenya: Meru Central district	Kenya		bovine		05-Feb-2007			Rift Valley fever virus strain 2007002444 segment L, complete sequence	2007-02-05	Kenya	2007002444	rvf	EU574012.1	0.0236	37.9062	l
MG659856.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SA424/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SA424/10 segment L, complete sequence	2010	South Africa	SA424/10	rvf	MG659856.1	-30.5595	22.9375	l
MG659831.1	Rift Valley fever virus	GenBank			Grobbelaar,A.A., Weyer,J., Janse van Vuuren,P. and Paweska,J.T.	Centre for Emerging Zoonotic and Parasitic Diseases, National Institute for Communicable Diseases, 1 Modderfontein Road, Sandringham, Johannesburg, Gauteng 2131, South Africa		13-NOV-2020	SPU100/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		South Africa	South Africa		Homo sapiens		2010			Rift Valley fever virus isolate SPU100/10 segment L, complete sequence	2010	South Africa	SPU100/10	rvf	MG659831.1	-30.5595	22.9375	l
DQ375397.1	Rift Valley fever virus	GenBank			Bird,B.H., Khristova,M.L. and Nichol,S.T.	Special Pathogens Branch, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30333, USA		07-NOV-2007	OS-9	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L		Mauritania	Mauritania			human sera	1987			Rift Valley fever virus strain OS-9 segment L, complete sequence	1987	Mauritania	OS-9	rvf	DQ375397.1	21.0079	-10.9408	l
